,,,,,,,,
,,,,Red Nacional de Acelerografos de Colombia,,,,
,,,,,,,,
Parametros de Consulta,,,,,,,,
Fecha Incial,01/06/1993,Municipio,04/01/2018,,,,,
Latitud Minima,-5,Latitud Maxima,14,,,,,
Longitud Minima,-90,Longitud Maxima,-66,,,,,
Magnitud Minima,0,Magnitud Maxima,9,,,,,
Profundidad Minima,0,Profundidad Maxima,700,,,,,
Total Registros,1834,,,,,,,
,,,,,,,,
Sismicidad Registrada,,,,,,,,
Fecha,Hora_UTC,Departamento,Municipio,Latitud(Grados),Longitud(Grados),Profunidad(Km),Magnitud(Ml),Magnitud(Mw)
1997/08/01,23:40:34,HUILA,BARAYA,3.146,-74.801,1.4,4.3,
1997/08/07,13:12:37,VALLE DEL CAUCA,DAGUA,3.71,-76.879,72.4,4,
1997/08/19,14:39:47,VALLE DEL CAUCA,BUGALAGRANDE,4.25,-76.21,22,3.2,
1997/09/02,12:13:22,QUINDIO,GENOVA,3.958,-75.866,230,6.8,
1997/09/09,20:53:04,CUNDINAMARCA,PULI,4.707,-74.678,6,1.9,
1997/09/13,19:16:56,SANTANDER,LOS SANTOS,6.823,-73.045,160,4.6,
1997/09/14,15:20:16,VALLE DEL CAUCA,EL DOVIO,4.469,-76.242,10,3.1,
1997/09/19,08:30:26,SANTANDER,OIBA,6.122,-73.314,162,3.6,
1997/10/11,01:02:58,META,URIBE,2.972,-74.43,4,4.3,
1997/10/16,02:46:47,SANTANDER,LOS SANTOS,6.846,-73.104,159,4.8,
1997/10/20,10:55:21,CHOCO,SAN JOSE DEL PALMAR,4.974,-76.32,104.5,4.4,
1997/10/28,19:31:10,VALLE DEL CAUCA,SEVILLA,4.198,-75.915,177.9,4.3,
1997/10/28,07:18:49,NARINO,MOSQUERA,2.32,-78.546,32.1,2,
1997/11/03,04:07:48,SANTANDER,LOS SANTOS,6.766,-73.041,154.7,4.5,
1997/11/04,02:45:13,CUNDINAMARCA,SAN JUAN DE RIOSECO,4.903,-74.691,4,2.8,
1997/11/14,21:22:07,SANTANDER,LOS SANTOS,6.8,-73.071,157.2,4.2,
1997/11/16,12:59:39,SANTANDER,JORDAN,6.736,-73.081,152.1,4.4,
1997/11/19,10:34:19,VALLE DEL CAUCA,JAMUNDI,3.269,-76.503,95.1,4.6,
1997/11/28,18:22:35,HUILA,TIMANA,1.906,-75.946,1.5,3.6,
1997/12/10,20:12:16,VALLE DEL CAUCA,ARGELIA,4.747,-76.177,98,4.8,
1997/12/11,07:56:30,QUINDIO,GENOVA,3.98,-75.943,207.5,6.5,
1997/12/14,21:02:26,SANTANDER,LOS SANTOS,6.811,-73.065,153.1,4.4,
1998/01/03,06:11:33,SANTANDER,SAN ANDRES,6.84,-72.922,160,2.8,
1998/01/03,19:58:03,CHOCO,TADO,5.176,-76.465,95,4,
1998/01/03,15:50:03,SANTANDER,CEPITA,6.807,-73.008,160,3.1,
1998/01/04,20:44:28,BOLIVAR,SAN MARTIN DE LOBA,8.888,-74.072,10,4.9,
1998/01/06,04:29:23,HUILA,NEIVA,2.906,-75.247,24.6,3.8,
1998/01/18,01:38:40,SANTANDER,CEPITA,6.82,-72.966,160,5,
1998/01/20,15:08:04,SANTANDER,LOS SANTOS,6.817,-73.092,160,5.3,
1998/01/23,09:41:41,SANTANDER,LOS SANTOS,6.824,-73.125,160,4.8,
1998/02/02,14:21:28,CUNDINAMARCA,CHAGUANI,4.936,-74.559,40,4.3,
1998/02/03,10:25:42,VALLE DEL CAUCA,CALIMA,4.151,-76.682,86,3.5,
1998/02/04,19:22:47,SANTANDER,PUERTO PARRA,6.53,-74.125,0,3.7,
1998/02/09,21:47:14,META,RESTREPO,4.379,-73.579,16,3.2,
1998/02/10,06:24:51,BOYACA,SAN EDUARDO,5.173,-73.026,.1,4.8,
1998/02/12,22:16:07,META,EL CALVARIO,4.317,-73.647,0,2.9,
1998/02/13,23:01:43,ARAUCA,SARAVENA,7.611,-71.791,0,4.8,
1998/02/19,01:30:44,VALLE DEL CAUCA,BUENAVENTURA,3.717,-77.281,30.8,3.6,
1998/03/02,07:09:46,NORTE DE SANTANDER,OCANA,8.185,-73.321,125,4.2,
1998/03/03,17:18:31,SANTANDER,LOS SANTOS,6.829,-73.053,170,4.9,
1998/03/04,06:22:51,SANTANDER,HATO,6.578,-73.383,150,4.3,
1998/03/06,09:37:28,SANTANDER,CIMITARRA,6.287,-73.898,0,5.4,
1998/03/08,04:59:09,SANTANDER,CIMITARRA,6.265,-73.899,.7,5.3,
1998/03/09,02:07:45,SANTANDER,ZAPATOCA,6.855,-73.229,157.3,5,
1998/03/10,05:51:01,SANTANDER,LOS SANTOS,6.824,-73.065,152.8,4.6,
1998/03/12,10:41:40,NARINO,RICAURTE,1.066,-78.492,22,3.3,
1998/03/30,05:08:04,SANTANDER,VILLANUEVA,6.75,-73.178,150,5.7,
1998/04/01,19:24:25,ARAUCA,SARAVENA,7.533,-71.863,0,4.9,
1998/04/05,05:54:42,VALLE DEL CAUCA,RESTREPO,3.95,-76.701,89.2,3.2,
1998/04/09,22:27:52,ZONA GEOGRAFICA ESPECIAL,LA FRONTERA CON ECUADOR,.7,-78.41,.1,2.9,
1998/04/09,05:46:20,ZONA GEOGRAFICA ESPECIAL,LA FRONTERA CON ECUADOR,.78,-78.09,.1,3.1,
1998/04/10,14:50:36,ZONA GEOGRAFICA ESPECIAL,LA FRONTERA CON ECUADOR,.8995,-78.1073,3.3,4.4,
1998/04/15,09:51:51,BOYACA,SAN LUIS DE GACENO,4.779,-73.127,21.8,3.1,
1998/04/17,03:19:57,NARINO,RICAURTE,1.113,-78.086,0,3,
1998/04/17,11:01:09,VALLE DEL CAUCA,RESTREPO,3.922,-76.597,86,3.3,
1998/04/18,14:24:10,SANTANDER,EL CARMEN,6.691,-73.467,15.9,4.4,
1998/04/30,21:42:43,SANTANDER,LOS SANTOS,6.835,-73.043,160,5.2,
1998/05/01,03:53:57,SANTANDER,ZAPATOCA,6.847,-73.178,150,4.9,
1998/05/06,11:23:15,SANTANDER,LOS SANTOS,6.818,-73.074,162.7,5.5,
1998/05/20,10:31:40,BOYACA,CERINZA,5.982,-73.014,0,2.7,
